Year,GDP (USD),observation_date,CNY/USD Exchange Rate
1981,195866382432.54,1981-01-01,1.71
1982,205089699858.779,1982-01-01,1.8979
1983,230686747153.257,1983-01-01,1.981
1984,259946510957.143,1984-01-01,2.3303
1985,309488028132.653,1985-01-01,2.9434
1986,300758100107.246,1986-01-01,3.4616
1987,272972974764.574,1987-01-01,3.7314
1988,312353631207.819,1988-01-01,3.7314
1989,347768051311.741,1989-01-01,3.7673
1990,360857912565.966,1990-01-01,4.7921
1991,383373318083.624,1991-01-01,5.3337
1992,426915712715.856,1992-01-01,5.5206
1993,444731282435.515,1993-01-01,5.7795
1994,564321854521.013,1994-01-01,8.6397
1995,734484834573.582,1995-01-01,8.37
1996,863749314718.538,1996-01-01,8.3389
1997,961601980984.623,1997-01-01,8.3193
1998,1029060747620.65,1998-01-01,8.3008
1999,1094003874937.34,1999-01-01,8.2783
2000,1211331651866.09,2000-01-01,8.2784
2001,1339400897105.11,2001-01-01,8.277
2002,1470557654799.95,2002-01-01,8.2771
2003,1660280543846.79,2003-01-01,8.2772
2004,1955346768721.39,2004-01-01,8.2768
2005,2285961149879.85,2005-01-01,8.1936
2006,2752118657184.02,2006-01-01,7.9723
2007,3550327802998.4,2007-01-01,7.6058
2008,4594336785737.67,2008-01-01,6.9477
2009,5101691124285.21,2009-01-01,6.8307
2010,6087191746679.49,2010-01-01,6.7696
2011,7551545703440.75,2011-01-01,6.463
2012,8532185381680.59,2012-01-01,6.3093
2013,9570471111831.68,2013-01-01,6.1478
2014,10475624944355.2,2014-01-01,6.162
2015,11061572618578.7,2015-01-01,6.2827
2016,11233313730348.7,2016-01-01,6.64
2017,12310491333980.9,2017-01-01,6.7569
2018,13894907857880.6,2018-01-01,6.609
2019,14279968506271.7,2019-01-01,6.9081
2020,14687744162801.0,2020-01-01,6.9042
2021,17820459508852.2,2021-01-01,6.4508
2022,17881782683707.3,2022-01-01,6.729
2023,17794783039552.0,2023-01-01,7.0809
